iter	Passed	Remaining
839	14846	20501
840	14864	20484
841	14881	20465
842	14898	20447
843	14918	20432
844	14935	20414
845	14951	20395
846	14968	20376
847	14986	20358
848	15003	20340
849	15019	20320
850	15036	20301
851	15053	20283
852	15073	20268
853	15093	20253
854	15118	20246
855	15136	20229
856	15154	20211
857	15171	20193
858	15188	20174
859	15206	20158
860	15225	20140
861	15242	20122
862	15258	20103
863	15275	20083
864	15291	20064
865	15309	20047
866	15326	20029
867	15346	20013
868	15363	19995
869	15382	19979
870	15404	19967
871	15424	19952
872	15442	19935
873	15459	19917
874	15476	19898
875	15493	19879
876	15509	19860
877	15526	19840
878	15542	19821
879	15559	19802
880	15576	19784
881	15592	19765
882	15609	19745
883	15625	19726
884	15642	19707
885	15658	19688
886	15675	19669
887	15691	19649
888	15711	19634
889	15731	19619
890	15748	19601
891	15769	19588
892	15786	19570
893	15804	19552
894	15821	19534
895	15838	19515
896	15850	19491
897	15867	19472
898	15884	19453
899	15901	19435
900	15919	19417
901	15936	19399
902	15953	19380
903	15970	19362
904	15987	19343
905	16004	19324
906	16023	19309
907	16040	19291
908	16057	19272
909	16074	19254
910	16091	19235
911	16108	19217
912	16125	19198
913	16143	19181
914	16160	19162
915	16177	19144
916	16194	19125
917	16211	19107
918	16229	19090
919	16248	19074
920	16266	19057
921	16284	19040
922	16302	19022
923	16320	19005
924	16338	18987
925	16355	18970
926	16373	18952
927	16392	18936
928	16409	18918
929	16427	18900
930	16445	18883
931	16468	18871
932	16492	18860
933	16512	18845
934	16529	18828
935	16548	18811
936	16567	18794
937	16584	18777
938	16603	18760
939	16620	18742
940	16638	18724
941	16655	18706
942	16674	18690
943	16692	18673
944	16710	18655
945	16728	18638
946	16746	18621
947	16766	18606
948	16784	18588
949	16802	18571
950	16820	18553
951	16838	18535
952	16855	18517
953	16872	18499
954	16890	18482
955	16908	18465
956	16925	18446
957	16942	18428
958	16960	18410
959	16977	18392
960	16994	18373
961	17011	18355
962	17027	18336
963	17044	18317
964	17060	18298
965	17077	18279
966	17093	18260
967	17117	18249
968	17134	18231
969	17151	18211
970	17167	18192
971	17185	18175
972	17204	18159
973	17221	18140
974	17237	18121
975	17254	18102
976	17271	18084
977	17300	18078
978	17318	18061
979	17336	18044
980	17353	18025
981	17369	18006
982	17386	17987
983	17403	17969
984	17420	17951
985	17438	17933
986	17455	17915
987	17472	17897
988	17490	17879
989	17507	17861
990	17528	17847
991	17548	17831
992	17571	17818
993	17589	17801
994	17606	17783
995	17623	17765
996	17641	17747
997	17657	17728
998	17674	17710
999	17691	17691
1000	17708	17673
1001	17725	17654
1002	17742	17636
1003	17761	17619
1004	17778	17601
1005	17796	17583
1006	17812	17565
1007	17829	17546
1008	17847	17528
1009	17863	17510
1010	17881	17491
1011	17898	17473
1012	17915	17455
1013	17931	17436
1014	17949	17418
1015	17966	17400
1016	17983	17381
1017	18000	17363
1018	18018	17346
1019	18036	17329
1020	18053	17310
1021	18071	17293
1022	18089	17275
1023	18107	17258
1024	18124	17240
1025	18142	17222
1026	18159	17204
1027	18176	17186
1028	18193	17168
1029	18211	17150
1030	18229	17132
1031	18247	17115
1032	18270	17103
1033	18290	17087
1034	18316	17077
1035	18339	17065
1036	18359	17049
1037	18378	17032
1038	18396	17015
1039	18413	16996
1040	18430	16978
1041	18447	16960
1042	18464	16942
1043	18481	16923
1044	18497	16904
1045	18514	16885
1046	18540	16876
1047	18569	16868
1048	18593	16856
1049	18615	16842
1050	18635	16826
1051	18655	16811
1052	18674	16794
1053	18691	16776
1054	18708	16757
1055	18725	16739
1056	18744	16722
1057	18763	16706
1058	18780	16687
1059	18797	16669
1060	18814	16650
1061	18830	16632
1062	18847	16613
1063	18863	16594
1064	18879	16575
1065	18897	16557
1066	18914	16539
1067	18931	16520
1068	18949	16502
1069	18966	16484
1070	18983	16466
1071	19000	16447
1072	19016	16429
1073	19033	16410
1074	19049	16391
1075	19066	16373
1076	19084	16355
1077	19101	16337
1078	19120	16320
1079	19137	16302
1080	19154	16284
1081	19171	16266
1082	19188	16247
1083	19205	16228
1084	19221	16210
1085	19238	16191
1086	19255	16173
1087	19272	16154
1088	19289	16136
1089	19306	16117
1090	19322	16099
1091	19340	16081
1092	19357	16063
1093	19373	16044
1094	19396	16030
